# STATION: 007HI
# STATION NAME: Laupahoehoe
# LATITUDE: 19.93200
# LONGITUDE: -155.29100
# ELEVATION [ft]: 3776.0
# STATE: HI
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,solar_radiation_set_1,soil_temp_set_1,soil_temp_set_2,precip_accum_five_minute_set_1,soil_moisture_set_1,soil_moisture_set_2,soil_moisture_set_3,volt_set_1,outgoing_radiation_sw_set_1,incoming_radiation_lw_set_1,outgoing_radiation_lw_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Celsius,%,m/s,Degrees,W/m**2,Celsius,Celsius,Millimeters,%,%,%,volts,W/m**2,W/m**2,W/m**2,Celsius,code,Celsius,Celsius
007HI,2024-01-15T16:00:00Z,14.317,50.83,0.484,185.6,0.0,,,0.0,,,,12.21,0.76,0.0,0.0,,S,,4.19
007HI,2024-01-15T16:05:00Z,14.094,52.57,0.345,180.2,0.0,,,0.0,,,,,0.71,0.0,0.0,,S,,4.46
007HI,2024-01-15T16:10:00Z,13.944,52.56,0.921,162.0,0.0,,,0.0,,,,12.19,0.93,0.0,0.0,,SSE,,4.32
007HI,2024-01-15T16:15:00Z,14.461,47.88,1.893,175.3,0.0,,,0.0,,,,,1.86,0.0,0.0,,S,,3.47
007HI,2024-01-15T16:20:00Z,14.928,44.39,2.099,194.9,0.0,,,0.0,,,,12.2,1.81,0.0,0.0,,SSW,,2.82
007HI,2024-01-15T16:25:00Z,15.467,40.77,2.665,196.0,0.0,,,0.0,,,,,2.4,0.0,0.0,,SSW,,2.11
007HI,2024-01-15T16:30:00Z,15.633,40.67,2.727,203.9,0.0,,,0.0,,,,12.13,1.41,0.0,0.0,,SSW,,2.22
007HI,2024-01-15T16:35:00Z,15.4,41.38,3.169,203.9,0.0,,,0.0,,,,,0.66,0.0,0.0,,SSW,,2.26
007HI,2024-01-15T16:40:00Z,15.289,41.86,2.433,205.9,0.0,,,0.0,,,,12.12,0.53,0.0,0.0,,SSW,,2.32
007HI,2024-01-15T16:45:00Z,15.139,42.43,2.377,209.7,0.0,,,0.0,,,,,0.49,0.0,0.0,,SSW,,2.37
007HI,2024-01-15T16:50:00Z,15.122,42.57,2.12,202.7,0.0,,,0.0,,,,12.19,0.67,0.0,0.0,,SSW,,2.4
007HI,2024-01-15T16:55:00Z,15.383,41.1,2.67,203.9,0.0,,,0.0,,,,,1.34,0.0,0.0,,SSW,,2.15
007HI,2024-01-15T17:00:00Z,15.767,39.83,2.33,204.9,1.89,,,0.0,,,,12.2,2.28,0.0,0.0,,SSW,,2.05
007HI,2024-01-15T17:05:00Z,15.678,40.48,2.943,200.6,7.6,,,0.0,,,,,4.55,0.0,0.0,,SSW,,2.2
007HI,2024-01-15T17:10:00Z,15.939,39.33,2.86,202.4,14.15,,,0.0,,,,12.21,7.01,0.0,0.0,,SSW,,2.03
007HI,2024-01-15T17:15:00Z,16.128,39.19,3.056,200.8,22.57,,,0.0,,,,,8.01,0.0,0.0,,SSW,,2.15
007HI,2024-01-15T17:20:00Z,16.372,38.77,2.804,198.0,33.08,,,0.0,,,,12.24,8.43,0.0,0.0,,SSW,,2.22
007HI,2024-01-15T17:25:00Z,16.689,37.21,2.438,197.1,45.0,,,0.0,,,,,9.2,0.0,0.0,,SSW,,1.92
007HI,2024-01-15T17:30:00Z,17.3,35.59,1.929,197.1,57.68,,,0.0,,,,12.28,9.86,0.0,0.0,,SSW,,1.85
007HI,2024-01-15T17:35:00Z,17.711,35.09,1.96,196.6,71.43,,,0.0,,,,,10.56,0.0,0.0,,SSW,,2.01
007HI,2024-01-15T17:40:00Z,17.911,35.26,1.646,206.3,86.26,,,0.0,,,,12.34,11.43,0.0,0.0,,SSW,,2.26
007HI,2024-01-15T17:45:00Z,18.317,33.48,1.492,210.7,103.77,,,0.0,,,,,13.64,0.0,0.0,,SSW,,1.89
007HI,2024-01-15T17:50:00Z,19.006,31.01,1.281,213.9,121.54,,,0.0,,,,12.43,15.48,0.0,0.0,,SW,,1.43
007HI,2024-01-15T17:55:00Z,19.644,29.07,0.926,226.0,138.48,,,0.0,,,,,16.76,0.0,0.0,,SW,,1.09
007HI,2024-01-15T18:00:00Z,,30.33,0.365,224.3,154.92,,,0.0,,,,12.32,17.5,0.0,0.0,,SW,,
007HI,2024-01-15T18:05:00Z,20.411,30.68,0.607,199.1,172.36,,,0.0,,,,,18.67,0.0,0.0,,SSW,,2.51
007HI,2024-01-15T18:10:00Z,20.222,30.97,0.54,205.3,191.53,,,0.0,,,,13.33,20.74,0.0,0.0,,SSW,,2.48
007HI,2024-01-15T18:15:00Z,19.322,43.04,1.121,266.3,206.76,,,0.0,,,,,17.41,0.0,0.0,,W,,6.38
007HI,2024-01-15T18:20:00Z,18.061,44.22,1.116,279.8,227.62,,,0.0,,,,14.11,20.13,0.0,0.0,,W,,5.62
007HI,2024-01-15T18:25:00Z,18.244,39.18,1.013,297.1,249.69,,,0.0,,,,,24.53,0.0,0.0,,WNW,,4.05
007HI,2024-01-15T18:30:00Z,18.533,40.97,1.178,232.1,268.82,,,0.0,,,,14.1,27.97,0.0,0.0,,SW,,4.95
007HI,2024-01-15T18:35:00Z,18.789,41.19,1.302,206.5,289.78,,,0.0,,,,,31.65,0.0,0.0,,SSW,,5.26
007HI,2024-01-15T18:40:00Z,19.539,37.13,0.849,187.6,310.23,,,0.0,,,,14.09,34.67,0.0,0.0,,S,,4.44
007HI,2024-01-15T18:45:00Z,20.5,36.43,0.17,178.2,329.07,,,0.0,,,,,36.27,0.0,0.0,,S,,5.03
007HI,2024-01-15T18:50:00Z,21.45,31.76,0.731,118.7,347.9,,,0.0,,,,14.07,37.55,0.0,0.0,,ESE,,3.91
007HI,2024-01-15T18:55:00Z,21.561,31.75,1.199,95.7,367.34,,,0.0,,,,,39.14,0.0,0.0,,E,,4.01
007HI,2024-01-15T19:00:00Z,21.4,31.9,1.317,93.8,386.92,,,0.0,,,,14.06,40.82,0.0,0.0,,E,,3.93
007HI,2024-01-15T19:05:00Z,21.617,33.55,0.988,91.9,405.38,,,0.0,,,,,42.5,0.0,0.0,,E,,4.84
007HI,2024-01-15T19:10:00Z,21.606,33.58,0.689,89.0,424.01,,,0.0,,,,14.05,44.47,0.0,0.0,,E,,4.85
007HI,2024-01-15T19:15:00Z,21.906,34.42,0.545,74.26,441.93,,,0.0,,,,,45.43,0.0,0.0,,ENE,,5.47
007HI,2024-01-15T19:20:00Z,22.072,,0.432,95.9,460.14,,,0.0,,,,13.93,46.8,0.0,0.0,,E,,
007HI,2024-01-15T19:25:00Z,22.344,33.34,0.396,64.1,477.56,,,0.0,,,,,48.17,0.0,0.0,,ENE,,5.4
007HI,2024-01-15T19:30:00Z,22.422,32.95,0.154,75.33,494.24,,,0.0,,,,14.01,50.01,0.0,0.0,,ENE,,5.29
007HI,2024-01-15T19:35:00Z,22.794,33.19,0.345,23.91,511.4,,,0.0,,,,,50.64,0.0,0.0,,NNE,,5.73
007HI,2024-01-15T19:40:00Z,22.583,36.61,0.777,0.99,530.62,,,0.0,,,,13.98,50.66,0.0,0.0,,N,,6.96
007HI,2024-01-15T19:45:00Z,22.144,35.88,1.111,356.4,547.46,,,0.0,,,,,51.46,0.0,0.0,,N,,6.28
007HI,2024-01-15T19:50:00Z,21.972,36.37,0.818,9.84,564.28,,,0.0,,,,13.96,55.74,0.0,0.0,,N,,6.32
007HI,2024-01-15T19:55:00Z,21.733,37.28,1.26,353.6,581.64,,,0.0,,,,,58.38,0.0,0.0,,N,,6.47
007HI,2024-01-15T20:00:00Z,21.639,39.65,1.487,6.35,597.84,,,0.0,,,,13.94,62.86,0.0,0.0,,N,,7.28
007HI,2024-01-15T20:05:00Z,21.306,43.16,1.471,28.46,612.98,,,0.0,,,,,67.4,0.0,0.0,,NNE,,8.23
007HI,2024-01-15T20:10:00Z,21.289,44.87,1.276,2.84,628.46,,,0.0,,,,13.61,69.99,0.0,0.0,,N,,8.79
007HI,2024-01-15T20:15:00Z,21.472,44.38,1.096,355.1,643.75,,,0.0,,,,,68.73,0.0,0.0,,N,,8.79
007HI,2024-01-15T20:20:00Z,21.7,42.18,0.664,352.9,659.05,,,0.0,,,,13.21,67.2,0.0,0.0,,N,,8.25
007HI,2024-01-15T20:25:00Z,21.822,42.26,0.448,342.7,673.09,,,0.0,,,,,65.83,0.0,0.0,,NNW,,8.39
007HI,2024-01-15T20:30:00Z,21.628,42.47,0.772,331.3,685.62,,,0.0,,,,13.14,64.76,0.0,0.0,,NNW,,8.28
007HI,2024-01-15T20:35:00Z,21.578,39.67,0.653,347.1,698.16,,,0.0,,,,,65.38,0.0,0.0,,NNW,,7.23
007HI,2024-01-15T20:40:00Z,21.778,36.94,0.268,333.7,710.32,,,0.0,,,,13.02,66.01,0.0,0.0,,NNW,,6.37
007HI,2024-01-15T20:45:00Z,21.989,38.93,1.152,20.09,723.08,,,0.0,,,,,65.57,0.0,0.0,,NNE,,7.33
007HI,2024-01-15T20:50:00Z,21.978,38.26,0.787,0.51,735.44,,,0.0,,,,13.1,66.7,0.0,0.0,,N,,7.07
007HI,2024-01-15T20:55:00Z,22.128,39.04,0.689,50.69,746.9,,,0.0,,,,,68.29,0.0,0.0,,NE,,7.5
007HI,2024-01-15T21:00:00Z,22.139,39.48,1.111,3.15,758.61,,,0.0,,,,13.08,69.5,0.0,0.0,,N,,7.67
007HI,2024-01-15T21:05:00Z,22.05,39.41,1.61,343.8,769.96,,,0.0,,,,,68.75,0.0,0.0,,NNW,,7.56
007HI,2024-01-15T21:10:00Z,21.75,42.41,1.271,338.8,779.06,,,0.0,,,,13.06,69.1,0.0,0.0,,NNW,,8.37
007HI,2024-01-15T21:15:00Z,21.806,43.3,0.89,338.0,788.85,,,0.0,,,,,70.65,0.0,0.0,,NNW,,8.73
007HI,2024-01-15T21:20:00Z,22.028,44.31,1.121,338.9,798.38,,,0.0,,,,13.05,70.99,0.0,0.0,,NNW,,9.28
007HI,2024-01-15T21:25:00Z,21.833,41.25,1.749,345.6,806.21,,,0.0,,,,,70.88,0.0,0.0,,NNW,,8.04
007HI,2024-01-15T21:30:00Z,21.733,46.93,1.307,342.7,814.68,,,0.0,,,,13.04,71.96,0.0,0.0,,NNW,,9.86
007HI,2024-01-15T21:35:00Z,21.833,46.45,1.533,10.3,822.86,,,0.0,,,,,73.68,0.0,0.0,,N,,9.8
007HI,2024-01-15T21:40:00Z,21.861,43.72,1.266,13.12,830.26,,,0.0,,,,13.04,74.3,0.0,0.0,,NNE,,8.92
007HI,2024-01-15T21:45:00Z,21.967,46.79,1.137,17.43,836.24,,,0.0,,,,,74.32,0.0,0.0,,NNE,,10.03
007HI,2024-01-15T21:50:00Z,21.817,52.68,0.54,49.26,841.13,,,0.0,,,,13.03,74.56,0.0,0.0,,NE,,11.68
007HI,2024-01-15T21:55:00Z,21.922,48.93,1.374,3.17,845.96,,,0.0,,,,,73.74,0.0,0.0,,N,,10.66
007HI,2024-01-15T22:00:00Z,21.667,51.99,1.039,7.36,850.42,,,0.0,,,,12.89,73.21,0.0,0.0,,N,,11.34
007HI,2024-01-15T22:05:00Z,21.583,55.35,1.523,7.66,854.89,,,0.0,,,,,73.48,0.0,0.0,,N,,12.22
007HI,2024-01-15T22:10:00Z,21.233,63.1,2.078,24.33,857.91,,,0.0,,,,13.03,73.55,0.0,0.0,,NNE,,13.9
007HI,2024-01-15T22:15:00Z,20.911,70.98,1.548,35.03,861.02,,,0.0,,,,,74.24,0.0,0.0,,NE,,15.42
007HI,2024-01-15T22:20:00Z,20.922,72.05,1.842,357.6,863.73,,,0.0,,,,13.04,74.82,0.0,0.0,,N,,15.67
007HI,2024-01-15T22:25:00Z,20.75,73.3,1.286,21.94,863.87,,,0.0,,,,,74.46,0.0,0.0,,NNE,,15.77
007HI,2024-01-15T22:30:00Z,21.194,72.56,0.916,350.2,867.25,,,0.0,,,,13.04,75.21,0.0,0.0,,N,,16.04
007HI,2024-01-15T22:35:00Z,21.139,72.08,1.734,356.3,868.3,,,0.0,,,,,73.03,0.0,0.0,,N,,15.89
007HI,2024-01-15T22:40:00Z,20.989,72.36,1.209,5.59,866.67,,,0.0,,,,13.02,72.38,0.0,0.0,,N,,15.8
007HI,2024-01-15T22:45:00Z,20.689,75.09,1.919,351.8,865.21,,,0.0,,,,,70.8,0.0,0.0,,N,,16.09
007HI,2024-01-15T22:50:00Z,20.611,76.95,1.975,12.52,864.14,,,0.0,,,,13.0,71.75,0.0,0.0,,NNE,,16.4
007HI,2024-01-15T22:55:00Z,20.711,78.99,1.909,21.69,861.91,,,0.0,,,,,73.28,0.0,0.0,,NNE,,16.92
007HI,2024-01-15T23:00:00Z,20.644,83.43,2.032,6.31,840.62,,,0.0,,,,12.97,70.96,0.0,0.0,,N,,17.72
